word,rendered,uploaded
sneaker,False,False
flying,False,False
pain,False,False
police,False,False
pardon,False,False
scale,False,False
scout,False,False
arrive,False,False
bare,False,False
journal,False,False
moist,False,False
succeed,False,False
spot,False,False
strike,False,False
brand-new,False,False
dating,False,False
rag,False,False
grandpa,False,False
others,False,False
traffic,False,False
big,False,False
sudden,False,False
attach,False,False
epic,False,False
uterus,False,False
secure,False,False
execute,False,False
cross,False,False
size,False,False
express,False,False
smile,False,False
shack,False,False
spoil,False,False
girlfriend,False,False
doughnut,False,False
uniform,False,False
float,False,False
embarrassment,False,False
less,False,False
eternity,False,False
bug,False,False
one hundred,False,False
exactly,False,False
bull,False,False
playground,False,False
own,False,False
catalog,False,False
emerge,False,False
muffin,False,False
tower,False,False
equation,False,False
dad,False,False
register,False,False
auto,False,False
reflect,False,False
psychological,False,False
obvious,False,False
glove,False,False
deny,False,False
sneeze,False,False
favor,False,False
tomato,False,False
unfortunately,False,False
rule,False,False
regular,False,False
apparently,False,False
tribe,False,False
affection,False,False
approve,False,False
broccoli,False,False
boat,False,False
occasion,False,False
atmosphere,False,False
unbelievable,False,False
possible,False,False
unpleasant,False,False
fighter,False,False
far,False,False
lose,False,False
my,False,False
groom,False,False
champion,False,False
holiday,False,False
federal,False,False
racket,False,False
kitty,False,False
insist,False,False
likely,False,False
eighty,False,False
swallow,False,False
twenty-six,False,False
compete,False,False
very,False,False
several,False,False
cheese,False,False
somewhere,False,False
cranky,False,False
criticize,False,False
snake,False,False
liberty,False,False
future,False,False
patch,False,False
obstacle,False,False
per,False,False
dedicate,False,False
cafeteria,False,False
instinct,False,False
miss,False,False
google,False,False
admit,False,False
somewhat,False,False
aisle,False,False
if,False,False
argue,False,False
spectacular,False,False
wooden,False,False
memorial,False,False
ex-wife,False,False
outstanding,False,False
stuffing,False,False
pocket,False,False
carpet,False,False
empire,False,False
click,False,False
ashamed,False,False
outfit,False,False
member,False,False
coitus,False,False
youth,False,False
geek,False,False
photo,False,False
ours,False,False
law,False,False
wingman,False,False
seventy-two,False,False
